日志创建2021-06-23 [给予]获得(zhouhong1)道具：怪物卡片
2021-06-23 [给予]给予(zhouhong1)道具：怪物卡片
2021-06-23 余额75045036，获得储备：1000000,来源代号大雁塔，储备余额76045036
2021-06-23 余额76045036，获得储备：2000000,来源代号大雁塔，储备余额78045036
2021-06-23 余额78045036，获得储备：3000000,来源代号大雁塔，储备余额81045036
2021-06-23 余额81045036，获得储备：4000000,来源代号大雁塔，储备余额85045036
2021-06-23 余额85045036，获得储备：5000000,来源代号大雁塔，储备余额90045036
2021-06-23 余额1477983，获得银子：300000,来源代号大雁塔，银子余额1777983
2021-06-23 余额90045036，获得储备：6000000,来源代号大雁塔，储备余额96045036
2021-06-23 余额1777983，获得银子：360000,来源代号大雁塔，银子余额2137983
2021-06-23 余额96045036，获得储备：7000000,来源代号大雁塔，储备余额103045036
2021-06-23 余额2137983，获得银子：420000,来源代号大雁塔，银子余额2557983
2021-06-23 余额103045036，获得储备：8000000,来源代号大雁塔，储备余额111045036
2021-06-23 余额2557983，获得银子：480000,来源代号大雁塔，银子余额3037983
2021-06-23 余额111045036，获得储备：9000000,来源代号大雁塔，储备余额120045036
2021-06-23 余额3037983，获得银子：540000,来源代号大雁塔，银子余额3577983
2021-06-24 余额120045036，获得储备：10000000,来源代号大雁塔，储备余额130045036
2021-06-24 余额3577983，获得银子：600000,来源代号大雁塔，银子余额4177983
2021-06-24 余额130045036，获得储备：11000000,来源代号大雁塔，储备余额141045036
2021-06-24 余额4177983，获得银子：660000,来源代号大雁塔，银子余额4837983
2021-06-24 [给予]给予(zhouhong1)银子：4500000
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141045036，获得储备：57132,来源代号知了先锋，储备余额141102168
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141102168，获得储备：57132,来源代号知了先锋，储备余额141159300
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141159300，获得储备：57132,来源代号知了先锋，储备余额141216432
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141216432，获得储备：57132,来源代号知了先锋，储备余额141273564
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141273564，获得储备：57132,来源代号知了先锋，储备余额141330696
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141330696，获得储备：57132,来源代号知了先锋，储备余额141387828
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141387828，获得储备：57132,来源代号知了先锋，储备余额141444960
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141444960，获得储备：57132,来源代号知了先锋，储备余额141502092
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141502092，获得储备：57132,来源代号知了先锋，储备余额141559224
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额141559224，获得储备：57132,来源代号知了先锋，储备余额141616356
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
