日志创建2021-06-23 [给予]获得(zhouhong1)道具：怪物卡片
2021-06-25 获得经验：6914112,来源代号知了先锋
2021-06-25 余额150847442，获得储备：57132,来源代号知了先锋，储备余额150904574
2021-06-25 余额571208，获得银子：100000,来源代号出售魔兽要诀，银子余额671208
2021-06-25 余额671208，获得银子：60000,来源代号出售超级金柳露，银子余额731208
2021-06-25 余额731208，获得银子：100000,来源代号出售魔兽要诀，银子余额831208
2021-06-25 余额831208，获得银子：100000,来源代号出售魔兽要诀，银子余额931208
2021-06-25 余额931208，获得银子：100000,来源代号出售魔兽要诀，银子余额1031208
2021-06-25 余额1031208，获得银子：20000,来源代号出售玄武石，银子余额1051208
2021-06-25 余额1051208，获得银子：10000,来源代号出售白虎石，银子余额1061208
2021-06-25 扣除500仙玉来源商城购买超级小鲲鹏
2021-06-25 获得经验：6914112,来源代号知了先锋
2021-06-25 余额150904574，获得储备：57132,来源代号知了先锋，储备余额150961706
2021-06-25 [给予]获得(zhouhong1)道具：坐骑礼包
2021-06-25 [给予]给予(zhouhong1)道具：易经丹
2021-06-25 获得经验：7256904,来源代号知了大王
2021-06-25 余额150961706，获得储备：76176,来源代号知了大王，储备余额151037882
2021-06-25 获得经验：7256904,来源代号知了大王
2021-06-25 余额151037882，获得储备：76176,来源代号知了大王，储备余额151114058
2021-06-25 获得经验：7256904,来源代号知了大王
2021-06-25 余额151114058，获得储备：76176,来源代号知了大王，储备余额151190234
2021-06-25 获得经验：7256904,来源代号知了大王
2021-06-25 余额151190234，获得储备：76176,来源代号知了大王，储备余额151266410
2021-06-25 获得经验：7256904,来源代号知了大王
2021-06-25 余额151266410，获得储备：76176,来源代号知了大王，储备余额151342586
2021-06-25 获得经验：7256904,来源代号知了大王
2021-06-25 余额151342586，获得储备：76176,来源代号知了大王，储备余额151418762
2021-06-25 余额1061208，获得银子：40000,来源代号泡泡，银子余额1101208
2021-06-25 获得经验：571320,来源代号泡泡
2021-06-25 余额1101208，失去银子：55060,来源代号19，银子余额1046148
2021-06-25 获得经验：7409256,来源代号千年知了王
2021-06-25 余额151418762，获得储备：85698,来源代号千年知了王，储备余额151504460
2021-06-25 获得经验：7409256,来源代号千年知了王
2021-06-25 余额151504460，获得储备：85698,来源代号千年知了王，储备余额151590158
2021-06-25 获得经验：7409256,来源代号千年知了王
2021-06-25 余额151590158，获得储备：85698,来源代号千年知了王，储备余额151675856
2021-06-25 获得经验：7409256,来源代号千年知了王
2021-06-25 余额151675856，获得储备：85698,来源代号千年知了王，储备余额151761554
2021-06-25 余额1046148，失去银子：150000,来源代号29，银子余额896148
2021-06-25 [摊位系统-购买]花费150000两银子购买了魔王护持，出售者为nie588
2021-06-25 余额896148，失去银子：150000,来源代号29，银子余额746148
2021-06-25 [摊位系统-购买]花费150000两银子购买了魔王护持，出售者为nie588
2021-06-25 余额746148，失去银子：150000,来源代号29，银子余额596148
2021-06-25 [摊位系统-购买]花费150000两银子购买了拈花妙指，出售者为nie588
2021-06-25 [给予]获得(zhouhong1)道具：强化符
2021-06-25 [给予]获得(zhouhong1)道具：强化符
2021-06-25 [给予]给予(zhouhong1)道具：强化符
2021-06-25 获得经验：2094840,来源代号游泳
2021-06-25 余额151761554，获得储备：31422,来源代号游泳，储备余额151792976
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：2285280,来源代号游泳
2021-06-25 余额151792976，获得储备：34279,来源代号游泳，储备余额151827255
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：2475720,来源代号游泳
2021-06-25 余额151827255，获得储备：37135,来源代号游泳，储备余额151864390
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：2666160,来源代号游泳
2021-06-25 余额151864390，获得储备：39992,来源代号游泳，储备余额151904382
2021-06-25 增加20仙玉来源游泳
2021-06-25 增加10仙玉来源游泳
2021-06-25 获得经验：2856600,来源代号游泳
2021-06-25 余额151904382，获得储备：42849,来源代号游泳，储备余额151947231
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：3047040,来源代号游泳
2021-06-25 余额151947231，获得储备：45705,来源代号游泳，储备余额151992936
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：3237480,来源代号游泳
2021-06-25 余额151992936，获得储备：48562,来源代号游泳，储备余额152041498
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：3427920,来源代号游泳
2021-06-25 余额152041498，获得储备：51418,来源代号游泳，储备余额152092916
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：3618360,来源代号游泳
2021-06-25 余额152092916，获得储备：54275,来源代号游泳，储备余额152147191
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：3808800,来源代号游泳
2021-06-25 余额152147191，获得储备：57132,来源代号游泳，储备余额152204323
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：3999240,来源代号游泳
2021-06-25 余额152204323，获得储备：59988,来源代号游泳，储备余额152264311
2021-06-25 增加20仙玉来源游泳
2021-06-25 增加10仙玉来源游泳
2021-06-25 获得经验：4189680,来源代号游泳
2021-06-25 余额152264311，获得储备：62845,来源代号游泳，储备余额152327156
2021-06-25 增加20仙玉来源游泳
2021-06-25 获得经验：4380120,来源代号游泳
2021-06-25 余额152327156，获得储备：65701,来源代号游泳，储备余额152392857
2021-06-25 增加20仙玉来源游泳
2021-06-25 增加10仙玉来源游泳
2021-06-25 获得经验：4570560,来源代号游泳
2021-06-25 余额152392857，获得储备：68558,来源代号游泳，储备余额152461415
2021-06-25 增加20仙玉来源游泳
2021-06-25 余额596148，获得银子：20000,来源代号出售附魔宝珠，银子余额616148
2021-06-25 余额616148，获得银子：20000,来源代号出售附魔宝珠，银子余额636148
2021-06-25 余额636148，获得银子：100000,来源代号出售魔兽要诀，银子余额736148
2021-06-25 余额736148，获得银子：20000,来源代号出售附魔宝珠，银子余额756148
2021-06-25 余额756148，获得银子：10000,来源代号出售月华露，银子余额766148
2021-06-25 余额766148，获得银子：100000,来源代号出售魔兽要诀，银子余额866148
2021-06-25 余额866148，获得银子：10000,来源代号出售月华露，银子余额876148
2021-06-25 余额876148，获得银子：200000,来源代号星宿，银子余额1076148
2021-06-25 获得经验：200000,来源代号星宿
2021-06-25 获得经验：4761000,来源代号游泳
2021-06-25 余额152461415，获得储备：71415,来源代号游泳，储备余额152532830
2021-06-25 增加20仙玉来源游泳
