日志创建2021-06-27 余额8976218，获得银子：20000,来源代号出售附魔宝珠，银子余额8996218
2021-06-27 获得经验：845000,来源代号封妖
2021-06-27 余额8731408，失去银子：1,来源代号29，银子余额8731407
2021-06-27 [摊位系统-购买]花费1两银子购买了神木呓语，出售者为zhouhong
2021-06-27 余额8731407，失去银子：1,来源代号29，银子余额8731406
2021-06-27 [摊位系统-购买]花费1两银子购买了神木呓语，出售者为zhouhong
2021-06-27 余额8731406，失去银子：1,来源代号29，银子余额8731405
2021-06-27 [摊位系统-购买]花费1两银子购买了神木呓语，出售者为zhouhong
2021-06-27 余额8731405，失去银子：2000000,来源代号商城，银子余额6731405
2021-06-27 [给予]给予(zhouhong)道具：海马
2021-06-27 余额6731405，失去银子：1,来源代号29，银子余额6731404
2021-06-27 [摊位系统-购买]花费1两银子购买了神木呓语，出售者为zhouhong
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额116002046，获得储备：190096,来源代号知了大王，储备余额116192142
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额116192142，获得储备：213858,来源代号知了统领，储备余额116406000
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额116406000，获得储备：213858,来源代号知了统领，储备余额116619858
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额116619858，获得储备：213858,来源代号知了统领，储备余额116833716
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额116833716，获得储备：213858,来源代号知了统领，储备余额117047574
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额117047574，获得储备：213858,来源代号知了统领，储备余额117261432
2021-06-27 [给予]给予(zhouhong1)银子：6200000
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额117261432，获得储备：142572,来源代号知了先锋，储备余额117404004
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额117404004，获得储备：142572,来源代号知了先锋，储备余额117546576
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额117546576，获得储备：142572,来源代号知了先锋，储备余额117689148
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额117689148，获得储备：142572,来源代号知了先锋，储备余额117831720
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额117831720，获得储备：166334,来源代号知了小王，储备余额117998054
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额117998054，获得储备：166334,来源代号知了小王，储备余额118164388
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额118164388，获得储备：166334,来源代号知了小王，储备余额118330722
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额118330722，获得储备：166334,来源代号知了小王，储备余额118497056
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额118497056，获得储备：166334,来源代号知了小王，储备余额118663390
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额118663390，获得储备：166334,来源代号知了小王，储备余额118829724
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额118829724，获得储备：166334,来源代号知了小王，储备余额118996058
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额118996058，获得储备：166334,来源代号知了小王，储备余额119162392
2021-06-27 余额531404，获得银子：10000,来源代号出售炼妖石，银子余额541404
2021-06-27 余额541404，获得银子：20000,来源代号出售红宝石，银子余额561404
2021-06-27 余额561404，获得银子：100000,来源代号出售超级净瓶玉露，银子余额661404
2021-06-27 余额661404，获得银子：20000,来源代号出售绿宝石，银子余额681404
2021-06-27 余额681404，获得银子：40000,来源代号出售超级金柳露，银子余额721404
2021-06-27 余额721404，获得银子：20000,来源代号出售躲避精魄灵石，银子余额741404
2021-06-27 余额741404，获得银子：50000,来源代号出售碎石锤，银子余额791404
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额119162392，获得储备：166334,来源代号知了小王，储备余额119328726
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额119328726，获得储备：166334,来源代号知了小王，储备余额119495060
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额119495060，获得储备：190096,来源代号知了大王，储备余额119685156
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额119685156，获得储备：190096,来源代号知了大王，储备余额119875252
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额119875252，获得储备：190096,来源代号知了大王，储备余额120065348
