日志创建2021-06-21 余额100000，获得银子：600000000,来源代号给予，银子余额600100000
2021-06-21 [给予]获得(zhouhong)银子：600000000
2021-06-21 余额600100000，失去银子：599999999,来源代号29，银子余额100001
2021-06-21 [摊位系统-购买]花费599999999两银子购买了超级小鲲鹏，类型为超级小鲲鹏，出售者为q131007
2021-06-21 放生召唤兽:编号=1,类型=超级腾蛇,名称=超级腾蛇,等级=30,技能数=5
2021-06-21 获得经验：628452,来源代号抓鬼
2021-06-21 余额100001，获得银子：33733,来源代号抓鬼，银子余额133734
2021-06-21 余额2703126，获得储备：16866,来源代号抓鬼，储备余额2719992
2021-06-21 获得经验：685584,来源代号抓鬼
2021-06-21 余额133734，获得银子：36064,来源代号抓鬼，银子余额169798
2021-06-21 余额2719992，获得储备：18032,来源代号抓鬼，储备余额2738024
2021-06-21 [给予]获得(zhouhong)道具：160级玩家礼包
2021-06-21 装备礼包:8
2021-06-21 装备礼包:10
2021-06-21 装备礼包:11
2021-06-21 装备礼包:12
2021-06-21 装备礼包:13
2021-06-21 装备礼包:14
2021-06-21 装备礼包:15
2021-06-21 装备礼包:16
2021-06-21 装备礼包:17
2021-06-21 装备礼包:18
2021-06-21 装备礼包:19
2021-06-21 装备礼包:20
2021-06-21 余额169798，获得银子：10000000,来源代号给予，银子余额10169798
2021-06-21 [给予]获得(zhouhong)银子：10000000
2021-06-21 余额10169798，失去银子：200000,来源代号商城，银子余额9969798
2021-06-21 余额9969798，失去银子：200000,来源代号商城，银子余额9769798
2021-06-21 余额9769798，失去银子：200000,来源代号商城，银子余额9569798
2021-06-21 余额9569798，失去银子：200000,来源代号商城，银子余额9369798
2021-06-21 余额9369798，失去银子：200000,来源代号商城，银子余额9169798
2021-06-21 余额9169798，失去银子：200000,来源代号商城，银子余额8969798
2021-06-21 余额8969798，失去银子：200000,来源代号商城，银子余额8769798
2021-06-21 余额8769798，失去银子：200000,来源代号商城，银子余额8569798
2021-06-21 余额8569798，失去银子：200000,来源代号商城，银子余额8369798
2021-06-21 余额8369798，失去银子：200000,来源代号商城，银子余额8169798
2021-06-21 余额8169798，失去银子：200000,来源代号商城，银子余额7969798
2021-06-21 余额7969798，失去银子：200000,来源代号商城，银子余额7769798
2021-06-21 余额7769798，失去银子：200000,来源代号商城，银子余额7569798
2021-06-21 余额7569798，失去银子：200000,来源代号商城，银子余额7369798
2021-06-21 余额7369798，失去银子：200000,来源代号商城，银子余额7169798
2021-06-21 余额7169798，失去银子：200000,来源代号商城，银子余额6969798
2021-06-21 余额6969798，失去银子：200000,来源代号商城，银子余额6769798
2021-06-21 余额6769798，失去银子：200000,来源代号商城，银子余额6569798
2021-06-21 余额6569798，失去银子：200000,来源代号商城，银子余额6369798
2021-06-21 余额6369798，失去银子：200000,来源代号商城，银子余额6169798
2021-06-21 余额6169798，失去银子：200000,来源代号商城，银子余额5969798
2021-06-21 余额5969798，失去银子：200000,来源代号商城，银子余额5769798
2021-06-21 余额5769798，失去银子：200000,来源代号商城，银子余额5569798
2021-06-21 余额5569798，失去银子：200000,来源代号商城，银子余额5369798
2021-06-21 余额5369798，失去银子：200000,来源代号商城，银子余额5169798
2021-06-21 余额5169798，失去银子：200000,来源代号商城，银子余额4969798
2021-06-21 余额4969798，失去银子：200000,来源代号商城，银子余额4769798
2021-06-21 余额4769798，失去银子：200000,来源代号商城，银子余额4569798
2021-06-21 余额4569798，失去银子：200000,来源代号商城，银子余额4369798
2021-06-21 余额4369798，失去银子：200000,来源代号商城，银子余额4169798
2021-06-21 余额4169798，失去银子：3000000,来源代号13，银子余额1169798
2021-06-21 花费3000000银子重置召唤兽属性点
2021-06-21 [给予]获得(zhouhong1)道具：召唤兽内丹
2021-06-21 余额1169798，失去银子：1000000,来源代号商城，银子余额169798
2021-06-21 获得经验：6914112,来源代号知了先锋
2021-06-21 余额2738024，获得储备：57132,来源代号知了先锋，储备余额2795156
2021-06-21 获得经验：6914112,来源代号知了先锋
2021-06-21 余额2795156，获得储备：57132,来源代号知了先锋，储备余额2852288
2021-06-21 获得经验：742716,来源代号抓鬼
