日志创建2021-06-23 [给予]获得(zhouhong1)道具：怪物卡片
2021-06-23 [给予]给予(zhouhong1)道具：怪物卡片
2021-06-23 余额43047200，获得储备：1000000,来源代号大雁塔，储备余额44047200
2021-06-23 余额44047200，获得储备：2000000,来源代号大雁塔，储备余额46047200
2021-06-23 余额46047200，获得储备：3000000,来源代号大雁塔，储备余额49047200
2021-06-23 余额49047200，获得储备：4000000,来源代号大雁塔，储备余额53047200
2021-06-23 余额53047200，获得储备：5000000,来源代号大雁塔，储备余额58047200
2021-06-23 余额1532662，获得银子：300000,来源代号大雁塔，银子余额1832662
2021-06-23 余额58047200，获得储备：6000000,来源代号大雁塔，储备余额64047200
2021-06-23 余额1832662，获得银子：360000,来源代号大雁塔，银子余额2192662
2021-06-23 余额64047200，获得储备：7000000,来源代号大雁塔，储备余额71047200
2021-06-23 余额2192662，获得银子：420000,来源代号大雁塔，银子余额2612662
2021-06-23 余额71047200，获得储备：8000000,来源代号大雁塔，储备余额79047200
2021-06-23 余额2612662，获得银子：480000,来源代号大雁塔，银子余额3092662
2021-06-23 余额79047200，获得储备：9000000,来源代号大雁塔，储备余额88047200
2021-06-23 余额3092662，获得银子：540000,来源代号大雁塔，银子余额3632662
2021-06-24 余额88047200，获得储备：10000000,来源代号大雁塔，储备余额98047200
2021-06-24 余额3632662，获得银子：600000,来源代号大雁塔，银子余额4232662
2021-06-24 余额98047200，获得储备：11000000,来源代号大雁塔，储备余额109047200
2021-06-24 余额4232662，获得银子：660000,来源代号大雁塔，银子余额4892662
2021-06-24 [给予]给予(zhouhong1)银子：4500000
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109047200，获得储备：57132,来源代号知了先锋，储备余额109104332
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109104332，获得储备：57132,来源代号知了先锋，储备余额109161464
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109161464，获得储备：57132,来源代号知了先锋，储备余额109218596
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109218596，获得储备：57132,来源代号知了先锋，储备余额109275728
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109275728，获得储备：57132,来源代号知了先锋，储备余额109332860
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109332860，获得储备：57132,来源代号知了先锋，储备余额109389992
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109389992，获得储备：57132,来源代号知了先锋，储备余额109447124
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109447124，获得储备：57132,来源代号知了先锋，储备余额109504256
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109504256，获得储备：57132,来源代号知了先锋，储备余额109561388
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额109561388，获得储备：57132,来源代号知了先锋，储备余额109618520
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 余额392662，获得银子：200000,来源代号星宿，银子余额592662
2021-06-24 获得经验：200000,来源代号星宿
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
