日志创建2021-06-21 余额100000，获得银子：600000000,来源代号给予，银子余额600100000
2021-06-21 余额593397，获得银子：37732,来源代号抓鬼，银子余额631129
2021-06-21 余额3093161，获得储备：18866,来源代号抓鬼，储备余额3112027
2021-06-21 获得经验：799848,来源代号抓鬼
2021-06-21 余额631129，获得银子：40391,来源代号抓鬼，银子余额671520
2021-06-21 余额3112027，获得储备：20195,来源代号抓鬼，储备余额3132222
2021-06-21 获得经验：856980,来源代号抓鬼
2021-06-21 余额671520，获得银子：40541,来源代号抓鬼，银子余额712061
2021-06-21 余额3132222，获得储备：20270,来源代号抓鬼，储备余额3152492
2021-06-21 获得经验：914112,来源代号抓鬼
2021-06-21 余额712061，获得银子：43043,来源代号抓鬼，银子余额755104
2021-06-21 余额3152492，获得储备：21521,来源代号抓鬼，储备余额3174013
2021-06-21 获得经验：971244,来源代号抓鬼
2021-06-21 余额755104，获得银子：46393,来源代号抓鬼，银子余额801497
2021-06-21 余额3174013，获得储备：23196,来源代号抓鬼，储备余额3197209
2021-06-21 获得经验：1028376,来源代号抓鬼
2021-06-21 余额801497，获得银子：47827,来源代号抓鬼，银子余额849324
2021-06-21 余额3197209，获得储备：23913,来源代号抓鬼，储备余额3221122
2021-06-21 余额849324，获得银子：35000,来源代号仙气十足，银子余额884324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额884324，获得银子：35000,来源代号仙气十足，银子余额919324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额919324，获得银子：35000,来源代号仙气十足，银子余额954324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额954324，获得银子：35000,来源代号仙气十足，银子余额989324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额989324，获得银子：35000,来源代号仙气十足，银子余额1024324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1024324，获得银子：35000,来源代号仙气十足，银子余额1059324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1059324，获得银子：35000,来源代号仙气十足，银子余额1094324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1094324，获得银子：35000,来源代号仙气十足，银子余额1129324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1129324，获得银子：35000,来源代号仙气十足，银子余额1164324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1164324，获得银子：35000,来源代号仙气十足，银子余额1199324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1199324，获得银子：35000,来源代号仙气十足，银子余额1234324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1234324，获得银子：35000,来源代号仙气十足，银子余额1269324
