日志创建2021-06-29 余额45701164，失去银子：9999999,来源代号24，银子余额35701165
2021-06-29 [摊位系统-购买]花费9999999两银子购买武器幻化石，出售者=333333
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 扣除3000仙玉来源商城
2021-06-29 取钱-取出数额:99999999
2021-06-29 取钱-银子-之前金额:35701165
2021-06-29 取钱-存银-之前金额:2200000000
2021-06-29 取钱-银子-取后金额:135701164
2021-06-29 取钱-存银-取后金额:2100000001
2021-06-29 取钱-取出数额:99999999
2021-06-29 取钱-银子-之前金额:135701164
2021-06-29 取钱-存银-之前金额:2100000001
2021-06-29 取钱-银子-取后金额:235701163
2021-06-29 取钱-存银-取后金额:2000000002
2021-06-29 取钱-取出数额:2
2021-06-29 取钱-银子-之前金额:235701163
2021-06-29 取钱-存银-之前金额:2000000002
2021-06-29 取钱-银子-取后金额:235701165
2021-06-29 取钱-存银-取后金额:2000000000
2021-06-29 余额235701165，失去银子：98888888,来源代号24，银子余额136812277
2021-06-29 [摊位系统-购买]花费98888888两银子购买玳瑁环，出售者=qbbast2
2021-06-29 余额136812277，失去银子：2000,来源代号22，银子余额136810277
2021-06-29 余额136810277，失去银子：2000,来源代号22，银子余额136808277
2021-06-29 余额136808277，失去银子：80000000,来源代号12，银子余额56808277
2021-06-29 [交易]给予cc1992的80000000两银子
2021-06-29 [交易]获得cc1992的160级玩家礼包
2021-06-29 [给予]给予(zhouhong1)道具：160级玩家礼包
2021-06-29 余额56808277，失去银子：2000,来源代号22，银子余额56806277
2021-06-29 [给予]给予(zhouhong1)道具：修炼果
2021-06-29 [给予]给予(zhouhong1)道具：玳瑁环
2021-06-29 余额56806277，失去银子：19999999,来源代号24，银子余额36806278
2021-06-29 [摊位系统-购买]花费19999999两银子购买陨铁，出售者=502719091
2021-06-29 取钱-取出数额:99999999
2021-06-29 取钱-银子-之前金额:36806278
2021-06-29 取钱-存银-之前金额:2000000000
2021-06-29 取钱-银子-取后金额:136806277
2021-06-29 取钱-存银-取后金额:1900000001
2021-06-29 取钱-取出数额:99999999
2021-06-29 取钱-银子-之前金额:136806277
2021-06-29 取钱-存银-之前金额:1900000001
2021-06-29 取钱-银子-取后金额:236806276
2021-06-29 取钱-存银-取后金额:1800000002
2021-06-29 取钱-取出数额:2
2021-06-29 取钱-银子-之前金额:236806276
2021-06-29 取钱-存银-之前金额:1800000002
2021-06-29 取钱-银子-取后金额:236806278
2021-06-29 取钱-存银-取后金额:1800000000
2021-06-29 [给予]给予(zhouhong1)道具：黑魔冠
2021-06-29 [给予]给予(zhouhong1)道具：万里追云履
2021-06-29 [给予]给予(zhouhong1)道具：圣王坠
2021-06-29 余额236806278，失去银子：2000,来源代号22，银子余额236804278
2021-06-29 余额236804278，失去银子：2000,来源代号22，银子余额236802278
2021-06-29 余额236802278，失去银子：2000,来源代号22，银子余额236800278
2021-06-29 余额236800278，失去银子：2000,来源代号22，银子余额236798278
2021-06-29 [给予]给予(zhouhong1)银子：3000000
2021-06-29 [给予]给予(zhouhong1)道具：白色合成旗
2021-06-29 余额233798278，失去银子：2000,来源代号22，银子余额233796278
2021-06-29 [给予]获得(zhouhong1)道具：白色合成旗
2021-06-29 [给予]给予(zhouhong1)道具：红色合成旗
2021-06-29 余额233796278，失去银子：2000,来源代号22，银子余额233794278
2021-06-29 [给予]获得(zhouhong1)道具：红色合成旗
2021-06-29 余额233794278，失去银子：2000,来源代号22，银子余额233792278
2021-06-29 余额233792278，获得银子：99999999,来源代号给予，银子余额333792277
2021-06-29 [给予]获得(glzhouhong)银子：99999999
2021-06-29 余额333792277，获得银子：78000000,来源代号给予，银子余额411792277
2021-06-29 [给予]获得(glzhouhong)银子：78000000
2021-06-29 余额411792277，失去银子：2000,来源代号22，银子余额411790277
2021-06-29 获得经验：10963900,来源代号知了大王
2021-06-29 余额343315568，获得储备：190096,来源代号知了大王，储备余额343505664
2021-06-29 获得经验：10963900,来源代号知了大王
2021-06-29 余额343505664，获得储备：190096,来源代号知了大王，储备余额343695760
2021-06-29 获得经验：10963900,来源代号知了大王
2021-06-29 余额343695760，获得储备：190096,来源代号知了大王，储备余额343885856
2021-06-29 获得经验：10963900,来源代号知了大王
2021-06-29 余额343885856，获得储备：190096,来源代号知了大王，储备余额344075952
2021-06-29 [交易]给予zhouhong1的玳瑁衣
2021-06-29 [交易]给予zhouhong1的玳瑁护腕
2021-06-29 [交易]给予zhouhong1的玳瑁环
2021-06-29 [交易]给予zhouhong1的暗黑童子
2021-06-29 [交易]获得zhouhong1的玳瑁环
2021-06-29 [交易]获得zhouhong1的玳瑁护腕
2021-06-29 [交易]获得zhouhong1的玳瑁衣
2021-06-29 [交易]获得zhouhong1的暗黑童子
2021-06-29 获得经验：9937382,来源代号知了先锋
2021-06-29 余额344075952，获得储备：142572,来源代号知了先锋，储备余额344218524
2021-06-29 存钱-存入数额:99999999
2021-06-29 存钱-银子-之前金额:411790277
2021-06-29 存钱-存银-之前金额:1800000000
2021-06-29 存钱-银子-存后金额:311790278
2021-06-29 存钱-存银-存后金额:1899999999
2021-06-29 存钱-存入数额:99999999
2021-06-29 存钱-银子-之前金额:311790278
2021-06-29 存钱-存银-之前金额:1899999999
2021-06-29 存钱-银子-存后金额:211790279
2021-06-29 存钱-存银-存后金额:1999999998
2021-06-29 存钱-存入数额:99999999
2021-06-29 存钱-银子-之前金额:211790279
2021-06-29 存钱-存银-之前金额:1999999998
2021-06-29 存钱-银子-存后金额:111790280
2021-06-29 存钱-存银-存后金额:2099999997
2021-06-29 扣除30000仙玉来源召唤兽改变造型
2021-06-29 余额111790280，失去银子：100000000,来源代号召唤兽染色，银子余额11790280
2021-06-29 获得经验：9937382,来源代号知了先锋
2021-06-29 余额344218524，获得储备：142572,来源代号知了先锋，储备余额344361096
