日志创建
2021-06-21 装备礼包:2
2021-06-21 装备礼包:3
2021-06-21 装备礼包:4
2021-06-21 装备礼包:5
2021-06-21 装备礼包:6
2021-06-21 装备礼包:7
2021-06-21 余额4923474，失去银子：3736,来源代号技能学习，储备余额4919738
2021-06-21 余额4919738，失去银子：4248,来源代号技能学习，储备余额4915490
2021-06-21 余额4915490，失去银子：4808,来源代号技能学习，储备余额4910682
2021-06-21 余额4910682，失去银子：5428,来源代号技能学习，储备余额4905254
2021-06-21 余额4905254，失去银子：6100,来源代号技能学习，储备余额4899154
2021-06-21 余额4899154，失去银子：6840,来源代号技能学习，储备余额4892314
2021-06-21 余额4892314，失去银子：24,来源代号技能学习，储备余额4892290
2021-06-21 余额4892290，失去银子：38,来源代号技能学习，储备余额4892252
2021-06-21 余额4892252，失去银子：56,来源代号技能学习，储备余额4892196
2021-06-21 余额4892196，失去银子：76,来源代号技能学习，储备余额4892120
2021-06-21 余额4892120，失去银子：102,来源代号技能学习，储备余额4892018
2021-06-21 余额4892018，失去银子：134,来源代号技能学习，储备余额4891884
2021-06-21 余额4891884，失去银子：172,来源代号技能学习，储备余额4891712
2021-06-21 余额4891712，失去银子：220,来源代号技能学习，储备余额4891492
2021-06-21 余额4891492，失去银子：278,来源代号技能学习，储备余额4891214
2021-06-21 余额4891214，失去银子：348,来源代号技能学习，储备余额4890866
2021-06-21 余额4890866，失去银子：432,来源代号技能学习，储备余额4890434
2021-06-21 余额4890434，失去银子：532,来源代号技能学习，储备余额4889902
2021-06-21 余额4889902，失去银子：650,来源代号技能学习，储备余额4889252
2021-06-21 余额4889252，失去银子：786,来源代号技能学习，储备余额4888466
2021-06-21 余额4888466，失去银子：944,来源代号技能学习，储备余额4887522
2021-06-21 余额4887522，失去银子：1126,来源代号技能学习，储备余额4886396
2021-06-21 余额4886396，失去银子：1334,来源代号技能学习，储备余额4885062
2021-06-21 余额4885062，失去银子：1572,来源代号技能学习，储备余额4883490
2021-06-21 余额4883490，失去银子：1838,来源代号技能学习，储备余额4881652
2021-06-21 余额4881652，失去银子：2140,来源代号技能学习，储备余额4879512
2021-06-21 余额4879512，失去银子：2476,来源代号技能学习，储备余额4877036
2021-06-21 余额4877036，失去银子：2852,来源代号技能学习，储备余额4874184
2021-06-21 余额4874184，失去银子：3272,来源代号技能学习，储备余额4870912
2021-06-21 余额4870912，失去银子：3736,来源代号技能学习，储备余额4867176
2021-06-21 余额4867176，失去银子：4248,来源代号技能学习，储备余额4862928
2021-06-21 余额4862928，失去银子：4808,来源代号技能学习，储备余额4858120
2021-06-21 余额4858120，失去银子：5428,来源代号技能学习，储备余额4852692
2021-06-21 余额4852692，失去银子：6100,来源代号技能学习，储备余额4846592
2021-06-21 余额4846592，失去银子：6840,来源代号技能学习，储备余额4839752
2021-06-21 获得经验：6000000,来源代号新手礼包
2021-06-21 余额4839752，获得储备：1000000,来源代号新手礼包，储备余额5839752
2021-06-21 余额5839752，失去银子：7640,来源代号技能学习，储备余额5832112
2021-06-21 余额5832112，失去银子：8510,来源代号技能学习，储备余额5823602
2021-06-21 余额5823602，失去银子：9450,来源代号技能学习，储备余额5814152
2021-06-21 余额5814152，失去银子：10468,来源代号技能学习，储备余额5803684
2021-06-21 余额5803684，失去银子：11566,来源代号技能学习，储备余额5792118
2021-06-21 余额5792118，失去银子：12748,来源代号技能学习，储备余额5779370
2021-06-21 余额5779370，失去银子：14018,来源代号技能学习，储备余额5765352
2021-06-21 余额5765352，失去银子：15360,来源代号技能学习，储备余额5749992
2021-06-21 余额5749992，失去银子：16838,来源代号技能学习，储备余额5733154
2021-06-21 余额5733154，失去银子：18398,来源代号技能学习，储备余额5714756
2021-06-21 余额5714756，失去银子：20064,来源代号技能学习，储备余额5694692
2021-06-21 余额5694692，失去银子：21840,来源代号技能学习，储备余额5672852
2021-06-21 余额5672852，失去银子：23730,来源代号技能学习，储备余额5649122
2021-06-21 余额5649122，失去银子：25742,来源代号技能学习，储备余额5623380
2021-06-21 余额5623380，失去银子：27876,来源代号技能学习，储备余额5595504
2021-06-21 余额5595504，失去银子：30140,来源代号技能学习，储备余额5565364
2021-06-21 余额5565364，失去银子：32540,来源代号技能学习，储备余额5532824
2021-06-21 余额5532824，失去银子：35080,来源代号技能学习，储备余额5497744
2021-06-21 余额5497744，失去银子：37764,来源代号技能学习，储备余额5459980
2021-06-21 余额5459980，失去银子：40598,来源代号技能学习，储备余额5419382
2021-06-21 余额5419382，失去银子：43590,来源代号技能学习，储备余额5375792
2021-06-21 余额5375792，失去银子：7640,来源代号技能学习，储备余额5368152
2021-06-21 余额5368152，失去银子：8510,来源代号技能学习，储备余额5359642
2021-06-21 余额5359642，失去银子：9450,来源代号技能学习，储备余额5350192
2021-06-21 余额5350192，失去银子：10468,来源代号技能学习，储备余额5339724
2021-06-21 余额5339724，失去银子：11566,来源代号技能学习，储备余额5328158
2021-06-21 余额5328158，失去银子：12748,来源代号技能学习，储备余额5315410
2021-06-21 余额5315410，失去银子：14018,来源代号技能学习，储备余额5301392
2021-06-21 余额5301392，失去银子：15360,来源代号技能学习，储备余额5286032
2021-06-21 余额5286032，失去银子：16838,来源代号技能学习，储备余额5269194
2021-06-21 余额5269194，失去银子：18398,来源代号技能学习，储备余额5250796
2021-06-21 余额5250796，失去银子：20064,来源代号技能学习，储备余额5230732
2021-06-21 余额5230732，失去银子：21840,来源代号技能学习，储备余额5208892
2021-06-21 余额5208892，失去银子：23730,来源代号技能学习，储备余额5185162
2021-06-21 余额5185162，失去银子：25742,来源代号技能学习，储备余额5159420
2021-06-21 余额5159420，失去银子：27876,来源代号技能学习，储备余额5131544
2021-06-21 余额5131544，失去银子：30140,来源代号技能学习，储备余额5101404
2021-06-21 余额5101404，失去银子：32540,来源代号技能学习，储备余额5068864
2021-06-21 余额5068864，失去银子：35080,来源代号技能学习，储备余额5033784
2021-06-21 余额5033784，失去银子：37764,来源代号技能学习，储备余额4996020
2021-06-21 余额4996020，失去银子：40598,来源代号技能学习，储备余额4955422
2021-06-21 余额4955422，失去银子：43590,来源代号技能学习，储备余额4911832
2021-06-21 余额4911832，失去银子：7640,来源代号技能学习，储备余额4904192
2021-06-21 余额4904192，失去银子：8510,来源代号技能学习，储备余额4895682
2021-06-21 余额4895682，失去银子：9450,来源代号技能学习，储备余额4886232
2021-06-21 余额4886232，失去银子：10468,来源代号技能学习，储备余额4875764
2021-06-21 余额4875764，失去银子：11566,来源代号技能学习，储备余额4864198
2021-06-21 余额4864198，失去银子：12748,来源代号技能学习，储备余额4851450
2021-06-21 余额4851450，失去银子：14018,来源代号技能学习，储备余额4837432
2021-06-21 余额4837432，失去银子：15360,来源代号技能学习，储备余额4822072
2021-06-21 余额4822072，失去银子：16838,来源代号技能学习，储备余额4805234
2021-06-21 余额4805234，失去银子：18398,来源代号技能学习，储备余额4786836
2021-06-21 余额4786836，失去银子：20064,来源代号技能学习，储备余额4766772
2021-06-21 余额4766772，失去银子：21840,来源代号技能学习，储备余额4744932
2021-06-21 余额4744932，失去银子：23730,来源代号技能学习，储备余额4721202
2021-06-21 余额4721202，失去银子：25742,来源代号技能学习，储备余额4695460
2021-06-21 余额4695460，失去银子：27876,来源代号技能学习，储备余额4667584
2021-06-21 余额4667584，失去银子：30140,来源代号技能学习，储备余额4637444
2021-06-21 余额4637444，失去银子：32540,来源代号技能学习，储备余额4604904
2021-06-21 余额4604904，失去银子：35080,来源代号技能学习，储备余额4569824
2021-06-21 余额4569824，失去银子：37764,来源代号技能学习，储备余额4532060
2021-06-21 余额4532060，失去银子：40598,来源代号技能学习，储备余额4491462
2021-06-21 余额4491462，失去银子：43590,来源代号技能学习，储备余额4447872
2021-06-21 余额4447872，失去银子：7640,来源代号技能学习，储备余额4440232
2021-06-21 余额4440232，失去银子：8510,来源代号技能学习，储备余额4431722
2021-06-21 余额4431722，失去银子：9450,来源代号技能学习，储备余额4422272
2021-06-21 余额4422272，失去银子：10468,来源代号技能学习，储备余额4411804
