日志创建
2021-06-21 装备礼包:2
2021-06-21 装备礼包:3
2021-06-21 装备礼包:4
2021-06-21 装备礼包:5
2021-06-21 装备礼包:6
2021-06-21 装备礼包:7
2021-06-21 余额5000000，获得储备：50000,来源代号新手礼包，储备余额5050000
2021-06-21 获得经验：6000000,来源代号新手礼包
2021-06-21 余额5050000，获得储备：1000000,来源代号新手礼包，储备余额6050000
2021-06-21 余额6050000，失去银子：24,来源代号技能学习，储备余额6049976
2021-06-21 余额6049976，失去银子：38,来源代号技能学习，储备余额6049938
2021-06-21 余额6049938，失去银子：56,来源代号技能学习，储备余额6049882
2021-06-21 余额6049882，失去银子：76,来源代号技能学习，储备余额6049806
2021-06-21 余额6049806，失去银子：102,来源代号技能学习，储备余额6049704
2021-06-21 余额6049704，失去银子：134,来源代号技能学习，储备余额6049570
2021-06-21 余额6049570，失去银子：172,来源代号技能学习，储备余额6049398
2021-06-21 余额6049398，失去银子：220,来源代号技能学习，储备余额6049178
2021-06-21 余额6049178，失去银子：278,来源代号技能学习，储备余额6048900
2021-06-21 余额6048900，失去银子：348,来源代号技能学习，储备余额6048552
2021-06-21 余额6048552，失去银子：432,来源代号技能学习，储备余额6048120
2021-06-21 余额6048120，失去银子：532,来源代号技能学习，储备余额6047588
2021-06-21 余额6047588，失去银子：650,来源代号技能学习，储备余额6046938
2021-06-21 余额6046938，失去银子：786,来源代号技能学习，储备余额6046152
2021-06-21 余额6046152，失去银子：944,来源代号技能学习，储备余额6045208
2021-06-21 余额6045208，失去银子：1126,来源代号技能学习，储备余额6044082
2021-06-21 余额6044082，失去银子：1334,来源代号技能学习，储备余额6042748
2021-06-21 余额6042748，失去银子：1572,来源代号技能学习，储备余额6041176
2021-06-21 余额6041176，失去银子：1838,来源代号技能学习，储备余额6039338
2021-06-21 余额6039338，失去银子：2140,来源代号技能学习，储备余额6037198
2021-06-21 余额6037198，失去银子：2476,来源代号技能学习，储备余额6034722
2021-06-21 余额6034722，失去银子：2852,来源代号技能学习，储备余额6031870
2021-06-21 余额6031870，失去银子：3272,来源代号技能学习，储备余额6028598
2021-06-21 余额6028598，失去银子：3736,来源代号技能学习，储备余额6024862
2021-06-21 余额6024862，失去银子：4248,来源代号技能学习，储备余额6020614
