日志创建2021-06-21 余额100000，获得银子：600000000,来源代号给予，银子余额600100000
2021-06-21 [给予]获得(zhouhong)银子：600000000
2021-06-21 余额600100000，失去银子：599999999,来源代号29，银子余额100001
2021-06-21 [摊位系统-购买]花费599999999两银子购买了超级小鲲鹏，类型为超级小鲲鹏，出售者为q131007
2021-06-21 放生召唤兽:编号=1,类型=超级腾蛇,名称=超级腾蛇,等级=30,技能数=5
2021-06-21 获得经验：628452,来源代号抓鬼
2021-06-21 余额100001，获得银子：32875,来源代号抓鬼，银子余额132876
2021-06-21 余额2608674，获得储备：16437,来源代号抓鬼，储备余额2625111
2021-06-21 获得经验：685584,来源代号抓鬼
2021-06-21 余额132876，获得银子：34890,来源代号抓鬼，银子余额167766
2021-06-21 余额2625111，获得储备：17445,来源代号抓鬼，储备余额2642556
2021-06-21 [给予]获得(zhouhong1)道具：160级玩家礼包
2021-06-21 装备礼包:10
2021-06-21 装备礼包:11
2021-06-21 装备礼包:12
2021-06-21 装备礼包:13
2021-06-21 装备礼包:14
2021-06-21 装备礼包:15
2021-06-21 装备礼包:16
2021-06-21 装备礼包:17
2021-06-21 装备礼包:18
2021-06-21 装备礼包:19
2021-06-21 装备礼包:20
2021-06-21 装备礼包:21
2021-06-21 [给予]给予(zhouhong1)道具：160级玩家礼包
2021-06-21 余额167766，获得银子：10000000,来源代号给予，银子余额10167766
2021-06-21 [给予]获得(zhouhong)银子：10000000
2021-06-21 余额10167766，失去银子：200000,来源代号商城，银子余额9967766
2021-06-21 余额9967766，失去银子：200000,来源代号商城，银子余额9767766
2021-06-21 余额9767766，失去银子：200000,来源代号商城，银子余额9567766
2021-06-21 余额9567766，失去银子：200000,来源代号商城，银子余额9367766
2021-06-21 余额9367766，失去银子：200000,来源代号商城，银子余额9167766
2021-06-21 余额9167766，失去银子：200000,来源代号商城，银子余额8967766
2021-06-21 余额8967766，失去银子：200000,来源代号商城，银子余额8767766
2021-06-21 余额8767766，失去银子：200000,来源代号商城，银子余额8567766
2021-06-21 余额8567766，失去银子：200000,来源代号商城，银子余额8367766
2021-06-21 余额8367766，失去银子：200000,来源代号商城，银子余额8167766
2021-06-21 余额8167766，失去银子：200000,来源代号商城，银子余额7967766
2021-06-21 余额7967766，失去银子：200000,来源代号商城，银子余额7767766
2021-06-21 余额7767766，失去银子：200000,来源代号商城，银子余额7567766
2021-06-21 余额7567766，失去银子：200000,来源代号商城，银子余额7367766
2021-06-21 余额7367766，失去银子：200000,来源代号商城，银子余额7167766
2021-06-21 余额7167766，失去银子：200000,来源代号商城，银子余额6967766
2021-06-21 余额6967766，失去银子：200000,来源代号商城，银子余额6767766
2021-06-21 余额6767766，失去银子：200000,来源代号商城，银子余额6567766
2021-06-21 余额6567766，失去银子：200000,来源代号商城，银子余额6367766
2021-06-21 余额6367766，失去银子：200000,来源代号商城，银子余额6167766
2021-06-21 余额6167766，失去银子：200000,来源代号商城，银子余额5967766
2021-06-21 余额5967766，失去银子：200000,来源代号商城，银子余额5767766
2021-06-21 余额5767766，失去银子：200000,来源代号商城，银子余额5567766
2021-06-21 余额5567766，失去银子：200000,来源代号商城，银子余额5367766
2021-06-21 余额5367766，失去银子：200000,来源代号商城，银子余额5167766
2021-06-21 余额5167766，失去银子：200000,来源代号商城，银子余额4967766
2021-06-21 余额4967766，失去银子：200000,来源代号商城，银子余额4767766
2021-06-21 余额4767766，失去银子：200000,来源代号商城，银子余额4567766
2021-06-21 余额4567766，失去银子：200000,来源代号商城，银子余额4367766
2021-06-21 余额4367766，失去银子：200000,来源代号商城，银子余额4167766
2021-06-21 余额4167766，失去银子：3000000,来源代号13，银子余额1167766
2021-06-21 花费3000000银子重置召唤兽属性点
2021-06-21 [给予]获得(zhouhong1)道具：召唤兽内丹
2021-06-21 [给予]获得(zhouhong1)道具：召唤兽内丹
2021-06-21 [给予]获得(zhouhong1)道具：召唤兽内丹
2021-06-21 [给予]获得(zhouhong1)道具：炼兽真经
2021-06-21 余额1167766，失去银子：1000000,来源代号商城，银子余额167766
2021-06-21 获得经验：6914112,来源代号知了先锋
